catergory       selection name          js path
Bullet      1 min       document.querySelector("#board-layout-sidebar > div.sidebar-content > div.new-game-component > div.new-game-primary > div > div:nth-child(4) > div:nth-child(1) > div.time-selector-field-component > button:nth-child(1)")
Bullet      1|1      document.querySelector("#board-layout-sidebar > div.sidebar-content > div.new-game-component > div.new-game-primary > div > div:nth-child(4) > div:nth-child(1) > div.time-selector-field-component > button:nth-child(2)")
Bullet      2|1      document.querySelector("#board-layout-sidebar > div.sidebar-content > div.new-game-component > div.new-game-primary > div > div:nth-child(4) > div:nth-child(1) > div.time-selector-field-component > button:nth-child(3)")
Bullet      30 sec      document.querySelector("#board-layout-sidebar > div.sidebar-content > div.new-game-component > div.new-game-primary > div > div:nth-child(4) > div:nth-child(1) > div.time-selector-field-component > button:nth-child(4)")
Bullet      20 sec|1    document.querySelector("#board-layout-sidebar > div.sidebar-content > div.new-game-component > div.new-game-primary > div > div:nth-child(4) > div:nth-child(1) > div.time-selector-field-component > button:nth-child(5)")

Blitz       3 min       document.querySelector("#board-layout-sidebar > div.sidebar-content > div.new-game-component > div.new-game-primary > div > div:nth-child(4) > div:nth-child(2) > div.time-selector-field-component > button:nth-child(1)")
Blitz       3|2     document.querySelector("#board-layout-sidebar > div.sidebar-content > div.new-game-component > div.new-game-primary > div > div:nth-child(4) > div:nth-child(2) > div.time-selector-field-component > button:nth-child(2)")
Blitz       5 min       document.querySelector("#board-layout-sidebar > div.sidebar-content > div.new-game-component > div.new-game-primary > div > div:nth-child(4) > div:nth-child(2) > div.time-selector-field-component > button:nth-child(3)")
Blitz       5|5     document.querySelector("#board-layout-sidebar > div.sidebar-content > div.new-game-component > div.new-game-primary > div > div:nth-child(4) > div:nth-child(2) > div.time-selector-field-component > button:nth-child(4)")
Blitz       5|2     document.querySelector("#board-layout-sidebar > div.sidebar-content > div.new-game-component > div.new-game-primary > div > div:nth-child(4) > div:nth-child(2) > div.time-selector-field-component > button:nth-child(5)")

Rapid       10 min      document.querySelector("#board-layout-sidebar > div.sidebar-content > div.new-game-component > div.new-game-primary > div > div:nth-child(4) > div:nth-child(3) > div.time-selector-field-component > button:nth-child(1)")
Rapid       15|10       document.querySelector("#board-layout-sidebar > div.sidebar-content > div.new-game-component > div.new-game-primary > div > div:nth-child(4) > div:nth-child(3) > div.time-selector-field-component > button:nth-child(2)")
Rapid       30 min      document.querySelector("#board-layout-sidebar > div.sidebar-content > div.new-game-component > div.new-game-primary > div > div:nth-child(4) > div:nth-child(3) > div.time-selector-field-component > button:nth-child(3)")
Rapid       10|5        document.querySelector("#board-layout-sidebar > div.sidebar-content > div.new-game-component > div.new-game-primary > div > div:nth-child(4) > div:nth-child(3) > div.time-selector-field-component > button:nth-child(4)")
Rapid       20 min      document.querySelector("#board-layout-sidebar > div.sidebar-content > div.new-game-component > div.new-game-primary > div > div:nth-child(4) > div:nth-child(3) > div.time-selector-field-component > button:nth-child(5)")
Rapid       60 min      document.querySelector("#board-layout-sidebar > div.sidebar-content > div.new-game-component > div.new-game-primary > div > div:nth-child(4) > div:nth-child(3) > div.time-selector-field-component > button:nth-child(6)")

Daily       1 days      document.querySelector("#board-layout-sidebar > div.sidebar-content > div.new-game-component > div.new-game-primary > div > div:nth-child(4) > div:nth-child(4) > div.time-selector-field-component > button:nth-child(1)")
Daily       3 days      document.querySelector("#board-layout-sidebar > div.sidebar-content > div.new-game-component > div.new-game-primary > div > div:nth-child(4) > div:nth-child(4) > div.time-selector-field-component > button:nth-child(2)")
Daily       7 days      document.querySelector("#board-layout-sidebar > div.sidebar-content > div.new-game-component > div.new-game-primary > div > div:nth-child(4) > div:nth-child(4) > div.time-selector-field-component > button:nth-child(3)")
Daily       2 days      document.querySelector("#board-layout-sidebar > div.sidebar-content > div.new-game-component > div.new-game-primary > div > div:nth-child(4) > div:nth-child(4) > div.time-selector-field-component > button:nth-child(4)")
Daily       5 days      document.querySelector("#board-layout-sidebar > div.sidebar-content > div.new-game-component > div.new-game-primary > div > div:nth-child(4) > div:nth-child(4) > div.time-selector-field-component > button:nth-child(5)")
Daily       14 days     document.querySelector("#board-layout-sidebar > div.sidebar-content > div.new-game-component > div.new-game-primary > div > div:nth-child(4) > div:nth-child(4) > div.time-selector-field-component > button:nth-child(6)")
